poste,lieu,entreprise,salaire,note,description
Approvisionneur F/H,Vallet,Selva,Non renseigné,"4,0","Excellente maîtrise des outils informatiques (Excalibur, Pack Office). Sous la responsabilité du Directeur Adjoint, vous assurerez la gestion des…&hellip;
Compétences: Approvisionnement, Logistique, Anglais, Microsoft Office, Bureautique"
Técnico HSE - França M/F,Paris,Ponticelli,Non renseigné,"3,3","Cumprir e fazer cumprir o disposto no sistema de gestão da Qualidade, Segurança e Ambiente (QSA) da TCPI, na sua área, através da implementação adequada dos…&hellip;"
Aide-soignant (H/F) (Centre),Paris,Fondation Perce-Neige,Non renseigné,"3,7",Veiller à l'installation des résidents et à la distribution des repas en respectant les régimes spécifiques. Venez découvrir nos établissements à Paris 14e le…&hellip;
PREPARATEUR EN PHARMACIE F/H -CDI TEMPS COMPLET AU 01/12/2025,Soyaux,Elsan,Non renseigné,"3,8","Mutuelle pour tous avec participation de 50% de l’employeur sur les garanties de base. Il offre une grande diversité de services médicaux et médico-techniques,…&hellip;
Compétences: Approvisionnement, Stockage, Expérience en milieu hospitalier"
Directeur Artistique Senior F/H,Nantes,Splayce,Non renseigné,"3,4","Vous maîtrisez l’ensemble de la chaîne graphique, de la création à l’exécution, et savez produire des livrables de qualité, quels que soient les supports.&hellip;
Compétences: Adobe Photoshop, Adobe Illustrator, Adobe XD, Production, Adobe InDesign"
Animateur HSE site de production H/F,Pont-du-Château,DÔMES PHARMA,29 k € - 32 k € (fourni par l’employeur),"3,7","Groupe familial indépendant, Dômes Pharma est une ETI présente depuis 1947 dans l’Industrie Pharmaceutique qui compte 400 salariés en France, en Angleterre, en…&hellip;
Compétences: Anglais, Microsoft Office"
Formador/a de COTS,Madré,Madre Fruta,Non renseigné,Non noté,"Curso “Conduzir e operar o trator em segurança” (COTST) destinado a técnicos, homologado pelo Ministério da Agricultura.&hellip;"
Chef pizzaiolo H/F,Lyon,SASU CARLA,2 k € (fourni par l’employeur),Non noté,"Préparer et gérer un service. Expérience antérieure dans le domaine de la restauration. Type d'emploi : Temps plein.&hellip;
Compétences: Manipulation des aliments, Préparation culinaires, Service en restauration, Sens de l'organisation, Restauration"
Assistante Affaires Réglementaires Internationales - CDD 6 mois H/F,Paris,Septodont,Non renseigné,"3,6","Assure l’indexation des archives papier et électroniques du réseau pour les documents liés à son activité. Vous possédez un Bac+ 2 ou une licence scientifique…&hellip;
Compétences: Expérience en laboratoire, Anglais, Sens de l'organisation"
Directeur-ice adjoint-e de la petite enfance - responsable administratif (H/F),Montrouge,Mairie de Montrouge,Non renseigné,"3,3","Gérer les demandes des familles, le processus d’attribution des places dans les structures petite enfance en lien avec l’élue de secteur.&hellip;
Compétences: Compétences rédactionnelles, Sens de l'organisation, Bureautique"
Operador de Refrigeração,France,Lar Cooperativa Agroindustrial,Non renseigné,"4,2","Local: Unidade Industrial de Aves 4 - Marechal Cândido Rondon /PR. Atividades a serem realizadas: Operar, limpar e executar pequenos serviços de manutenção…&hellip;"
Directeur.trice Artistique Web et Branding,Montpellier,Bitwip,Non renseigné,Non noté,"Très bonne compréhension de l’UX/UI, du responsive design et de l’accessibilité. Nous accompagnons les projets à impact en outre-mer et dans la francophonie…&hellip;
Compétences: Intelligence artificielle, Figma"
Directeur Artistique Senior F/H,Nantes,GROUPE GD COM,Non renseigné,"5,0","Vous maîtrisez l’ensemble de la chaîne graphique, de la création à l’exécution, et savez produire des livrables de qualité, quels que soient les supports.&hellip;
Compétences: Adobe Photoshop, Adobe Illustrator, Adobe XD, Production, Adobe InDesign"
2 psychologues,Illzach,FOUNDATION LE PHARE,Non renseigné,"5,0","Adapter votre communication aux différents interlocuteurs. Autres avantages : RTT et congés conventionnels, restaurant d’entreprise.&hellip;"
Internship: Student Cloud Agile Developer for SAP Digital Assistant - M/F,Levallois-Perret,SAP,Non renseigné,"4,2","Ability to work in an international team through English communication skills. Understanding REST APIs utilization, development and management.&hellip;
Compétences: Français, CI/CD, Node.js, Tests automatisés, Anglais"
Responsable de salle - H/F - CDI,Bordeaux,Groupe PEPPONE,2 k € (fourni par l’employeur),"3,0",Veiller à la qualité de l’accueil et de la réception du client. Véhiculer les valeurs de la maison au sein de l’unité. Prise en charge du transport quotidien.&hellip;
Contrôleur de gestion DEM Tricastin/Malvesi F/H,Pierrelatte,Orano,Non renseigné,"4,1","Vous êtes ouvert(e)s d'esprit, curieuse ou curieux, sociable, vous aimez les chiffres et êtes à l'aise avec l'analyse et la synthèse.&hellip;
Compétences: Compétences rédactionnelles, Esprit d'analyse"
Accompagnant Éducatif et Social H/F,Aizenay,Adapei Aria de Vendée,Non renseigné,"3,9",Informer la famille et/ou les représentants légaux sur le sujet de la vie quotidienne de la personne accueillie.&hellip;
Technicien documentation H/F,Châtellerault,Groupe PIMENT,"17,00 € - 18,00 € Par heure (fourni par l’employeur)","4,1","Le Groupe PIMENT et ses marques spécialisées OPTIMA et KUBIC vous accompagnent tout au long de votre évolution professionnelle, en vous proposant des contrats…&hellip;"
Alternance Directeur Artistique H/F,Paris,Icademie,775 € - 2 k € (fourni par l’employeur),"3,9","Rejoignez dès maintenant notre école pour préparer l’une de nos formations diplômantes du bac + 2 au bac + 5. Une première expérience en tant que DA (agence ou…&hellip;
Compétences: Adobe Photoshop, Adobe Illustrator, Adobe InDesign"
Alternance Chargé de communication (F/H),Sorbiers,ISCOD,Non renseigné,"2,6",Décliner le plan de communication sur les différents canaux online et offline et analyser leur performance. Concevoir des visuels percutants pour les campagnes…&hellip;
Ingénieur Informatique Industrielle H/F,Chambéry,Ace Emploi,42 k € - 48 k € (fourni par l’employeur),Non noté,"Support technique post-livraison et participation à l’amélioration continue. Type de l'offre: À plein temps CDI. Mise en service sur site (commissioning).&hellip;
Compétences: Microsoft Windows Server, C#, Git, SQL, C++"
Assistant Achat (F/H),Nantes,GIE Hospi Grand Ouest,Non renseigné,Non noté,"Gérer les litiges simples avec les fournisseurs en lien avec l’acheteur. La Carte Up Déjeuner, pour vos repas du midi (valeur faciale 9 € dont 60 % pris en…&hellip;
Compétences: Power BI, Sens de l'organisation, Bureautique"
SENIOR BUYER - MARSIGLIA,Marseille,Impresa Pizzarotti & C. S.p.A.,Non renseigné,"3,6","Capacità di sintesi e di reporting strutturato, facilità di gestione per obiettivi e KPI. Buona capacità e conoscenza degli applicativi MS;&hellip;
Compétences: Stata"
FOCUS ENTERTAINMENT PUBLISHING - CDI - LINE DESIGN SENIOR (H/F/NB),Paris,Focus Entertainment,Non renseigné,"3,7","Aisance en anglais à l’oral et à l’écrit (indispensable). Assurer un reporting régulier sur l’état des projets. Expérience en Line Design chez un éditeur AA.&hellip;
Compétences: Anglais"
Aide soignant H/F,Tain,EHPAD Ma Reverdy,26 k € (fourni par l’employeur),Non noté,"Travail en lien étroit avec l’équipe soignante et les familles. Ambiance bienveillante, encadrement présent et à l’écoute.&hellip;"
Chef de partie H/F,Antibes,Da Vinci,2 k € (fourni par l’employeur),"3,2","Collaborer avec l’équipe pour garantir un service fluide et efficace. Participer à l’élaboration des menus en proposant des idées créatives.&hellip;
Compétences: Manipulation des aliments, Préparation culinaires, Securité, Préparation des aliments, Sécurité alimentaire"
[HCL / Direction achats]Gestionnaire (F/H) _ CSP_ Pôle Investissement et Ressources Matérielles,Lyon,Hospice Civil de Lyon,Non renseigné,"3,6","Votre sens de l'analyse et du détail seront des atouts majeurs pour réussir au sein de notre service. Force de proposition pour améliorer et optimiser le…&hellip;
Compétences: Achats, Compétences en communication"
Designer Graphique 360 Senior,Labège,Pictarine,Non renseigné,"4,8","Être force de proposition pour créer des visuels et animations novateurs et imaginer de nouveaux contenus qui correspondent à l’image des marques.&hellip;
Compétences: Anglais, Figma"
Infirmier Santé au Travail H/F,Parthenay,LISI AEROSPACE Forged Integrated Solutions,Non renseigné,"4,0","Très à l’aise en informatique, vous maitrisez l’utilisation d’excel et word. Assure l'adaptation des EPI spécifiques à tous les salariés (réalisation des DA,…&hellip;
Compétences: Esprit d'analyse"
Cloud Agile Associate Developer for SAP Digital Assistant F/M,Levallois-Perret,SAP,Non renseigné,"4,2","English communication skills it’s a must have. Understanding REST APIs utilization, development and management. Contribute to addressing performance issues.&hellip;
Compétences: CI/CD, Node.js, React, Tests automatisés, Anglais"
Aide soignant H/F,Saumane,Sésame Autisme Occitanie Est,2 k € (fourni par l’employeur),Non noté,"F/H en CDI temps plein - Convention 1966*. Vous intervenez sur des horaires d’internat, auprès d’adultes handicapés dans le cadre d’une équipe…&hellip;
Compétences: Aide à la personne, Bureautique"
Comercial and Business Development Tetos Metálicos,Paris,IBG GLOBAL,Non renseigné,Non noté,"Description: Desenvolvimento e Otimização de Soluções Técnicas Conceber, implementar e otimizar sistemas de tetos metálicos para a construção Colaborar com…&hellip;
Compétences: AutoCAD, Revit, Sketchup"
[CDI] Chef de Brigade [H/F],Paris,Raffles Paris,Non renseigné,"3,2","Supervise l’équipe de réception en l’absence des Assistants Chef de Réception et du Chef de Réception. Excellente communication en français et en anglais (oral…&hellip;
Compétences: Français, Anglais, Expérience en supervision"
Server-Lead,France,"Marriott International, Inc",Non renseigné,"3,9","Na Marriott International, nós nos dedicamos para sermos um empregador que oferece oportunidades iguais, que acolhe todas as pessoas e que fornece acesso a…&hellip;"
Responsable d'Affaires Principal en électricité tertiaire (H/F),Saint-Priest,Equans,5 k € (fourni par l’employeur),"3,7","EQUANS France s'engage à promouvoir la diversité, l’inclusion et à lutter contre toutes les formes de discriminations à l’accès à l'emploi, à la formation, à la…&hellip;
Compétences: Électricité"
"EU MDR, Senior Quality Engineer",Cestas,Stryker,Non renseigné,"4,1","Apporter un support technique pour effectuer les activitÃ©s liÃ©es aux produits pour sâ€™assurer que Stryker soit conforme aux nouvelles exigences EU-MDR dans…&hellip;
Compétences: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Anglais"
Chargé d'études réseaux H/F,Pont-du-Casse,Dalkia Electrotechnics,Non renseigné,"4,3","De formation opérateur géomètre ou équivalent, vous bénéficiez d'une expérience de 3 ans minimum dans des fonctions similaires. Dessiner des plans d'exécution.&hellip;
Compétences: MicroStation, Microsoft Office, Esprit d'analyse"
Technicien SAV itinérants basé en France,Paris,Marposs,Non renseigné,"3,6",È richiesta un'esperienza minima di 5 anni nella gestione e manutenzione di sistemi meccatronici. Ottima capacità di problem-solving: non sono richieste…&hellip;
Stagiaire monteur H/F non rémunéré,Paris,Nalya invest,Non renseigné,Non noté,"Dans ce rôle, vous serez responsable de la création et de l'édition de contenus audiovisuels, en utilisant des logiciels de pointe pour donner vie à nos projets…&hellip;
Compétences: Adobe Photoshop, Adobe Lightroom, Adobe Illustrator, Adobe Creative Suite, Final Cut Pro"
Responsable bureau d’études électricité / régulation H/F,Caudan,Ext Ressources / Menirh,45 k € (fourni par l’employeur),Non noté,"Vous justifiez de bonnes connaissances en hydraulique, CVC, plomberie et traitement d’eau. Vous êtes titulaire d’un Bac 2/3 et disposez d’une expérience…&hellip;
Compétences: AutoCAD, Électricité, Plomberie, CVC"
NVKD Quản lý CTV - BHTT,Long,Yakult Vietnam,Non renseigné,"4,0","Trong đó, tổng thu nhập bao gồm lương cơ bản, phụ cấp, thưởng doanh số/ mục tiêu, chi phí đi công tác, khoản tiền đóng BHXH theo luật.&hellip;"
Devenez Formateur en Outils de Design – Préparez le Titre Professionnel FPA en Alternance (H/F),Paris,Academy des Formateurs,2 k € (fourni par l’employeur),Non noté,"*Animer des ateliers et séquences pédagogiques* autour des fondamentaux du design graphique et de l’édition numérique.&hellip;
Compétences: Adobe Photoshop, Adobe Lightroom, Conception graphique, Adobe Premiere, UX"
Comptable GÃ©nÃ©ral (H/F),Saint-Cloud,Asteelflash,Non renseigné,"3,5","De formation Bac +2 minimum en comptabilitÃ©, vous disposez dâ€™une expÃ©rience reprÃ©sentative Ã un poste Ã©quivalent, idÃ©alement dans un environnement…&hellip;"
IBODE/IADE H/F,Lille,Santech Conseil,Non renseigné,Non noté,"Aucune expérience, Débutant (moins de 2 ans), Expérimenté (2 à 5 ans), Confirmé (5 ans et plus). Notre client recrute un(e) IBODE ou IADE en CDI à temps plein…&hellip;"
Infrastructure Service Advisor,Pont-Saint-Martin,Engineering Industries eXcellence,Non renseigné,"4,2",Conoscenza dei principali tools di trouble ticketing e asset management. Conoscenza dei processi e degli strumenti di monitoraggio;&hellip;
Directeur des soins Infirmiers— H/F,Montpellier,Clinique du Millénaire,70 k € - 85 k € (fourni par l’employeur),"3,8","Organiser l’activité et coordonner les ressources humaines et matérielles pour garantir la qualité et la continuité des soins.&hellip;
Compétences: Leadership"
Line Designer Senior (H/F/NB),Paris,Focus Entertainment Publishing,Non renseigné,Non noté,"Aisance en anglais à l'oral et à l'écrit (indispensable). 5 ans ou plus d'expérience en Game Design, avec une participation active à des projets AA sur PC et/ou…&hellip;
Compétences: Anglais"
CHARGE DE SOUTIEN TRAVAUX SITE SECTEUR NAVAL (F/H),Bouguenais,Expectra,34 k € (fourni par l’employeur),"3,5","Vous contribuez à l'inventaire des équipements et des installations. Vous mettez à jour le plan de casernement et les plans du site (bureaux, vestiaires,…&hellip;"
PREPARATEUR(TRICE) VENDEUR(EUSE) H/F,Arles,MAXICOFFEE,22 k € (fourni par l’employeur),"3,1","Réceptionner les livraisons (presse, boutique et alimentaire...). Assurer l'approvisionnement des produits manquants en cours de service.&hellip;
Compétences: Service client, Encaissement, Service en restauration, Services aux visiteurs, Restauration"
Responsable maintenance opérationnelle (H/F),Pont-de-Roide,APERAM STAINLESS PRECISION,Non renseigné,"4,0","Identifier les solutions techniques d’amélioration des équipements et installations, Prendre en compte plusieurs paramètres à la fois dans ses analyses et ses…&hellip;
Compétences: Anglais, Gestion de la qualité, GMAO, Électricité, Budgétisation"
Database Administrator Senior,Pont-Saint-Martin,Engineering Industries eXcellence,Non renseigné,"4,2","Backup e Disaster Recovery: Configurazione e gestione dei backup per garantire l’integrità e la disponibilità dei dati, sviluppo e test di piani di disaster…&hellip;
Compétences: Microsoft Windows Server, TCP, Azure, Oracle, Microsoft SQL Server"
Network Architect Lead (IT) / Freelance,Courbevoie,AVALIANCE,Non renseigné,"4,1","Principales responsabilités : Le/La titulaire du poste sera rattaché(e) au responsable de l'ingénierie infrastructure SLS, basé(e) en France. Il/Elle sera…&hellip;
Compétences: Backbone.js, Expérience en gestion d'équipe, LAN, Anglais, Infrastructure réseau"
Mécanicien(ne) automobiles H/F,Ottmarsheim,GARAGE DA SILVA,2 k € - 3 k € (fourni par l’employeur),Non noté,"Informer le/la chargé de clientèle si diffèrent travaux supplémentaire sont à prévoir sur le véhicule (pour un bon suivie de l'entretien).&hellip;
Compétences: Mécanique automobile, Expérience en mécanique, Service client, Assemblage, Services aux visiteurs"
Manager de salle H/F,Lyon,SASU CARLA,2 k € - 3 k € (fourni par l’employeur),Non noté,"Présentation de la carte au client et prise de commandes. S’assurer de la satisfaction du client. Gestion des plannings SERVICE sur le restaurant.&hellip;
Compétences: Micros POS, Anglais, Expérience en supervision, Leadership, Aloha POS"
Infirmier H/F,Poitiers,Coallia,Non renseigné,"3,1","Formé à évaluer et traiter l'urgence d'une situation,. Être support des équipes d'intervenantes de Coallia Vienne. Transport en commun pris en charge à 50%.&hellip;
Compétences: Anglais"
Auxiliaire de vie,Igny,AD Seniors Ile de France Sud,Non renseigné,"1,8","Dans les activités de la vie sociale et relationnelle ( stimule les relations sociales, accompagne dans les activité de loisirs … ).&hellip;"
Mission Aide Soignant (h/f),Manosque,DomusVi,2 k € - 3 k € (fourni par l’employeur),"3,4","À propos de nous Située dans un quartier paisible et charmant de Manosque-Village (04), la résidence L'Etoile de Haute Provence se niche au cœur d'un vaste…&hellip;"
Supervisore,Costa,2night Lab,Non renseigné,"4,0","Supportare l’organizzazione e il coordinamento logistico di eventi (10 Premium, 2 Top e Sunset Spot), inclusi sopralluoghi, raccolta dati e call pre-evento con…&hellip;"
Gestionnaire de commandes interentreprises H/F / IOM Analyst,Pusignan,Stryker,Non renseigné,"4,1","Gestion des commandesÂ : ContrÃ´ler, traiter et envoyer les commandes clients en prenant en compte des conditions spÃ©cifiques relatives aux pays et aux…&hellip;
Compétences: Anglais, Microsoft Office"
Regional Sales Manager Trauma (H-F),Pusignan,Stryker,Non renseigné,"4,1","Attirer, former et mobiliser une Ã©quipe commerciale performante, en la soutenant et en l'incitant Ã dÃ©velopper l'activitÃ©.&hellip;
Compétences: Anglais, Microsoft Office"
Internship: Student Cloud Agile Developer for SAP Digital Assistant - M/F,Levallois-Perret,SAP Group,Non renseigné,"1,0","Ability to work in an international team through English communication skills. Understanding REST APIs utilization, development and management.&hellip;
Compétences: Français, CI/CD, Node.js, Tests automatisés, Anglais"
Business Developer Hotels - Portugal / Setor do Turismo Comercial M/F,Aix,Voyage Privé,Non renseigné,"3,9","Colaborar com as equipes de Marketing e Conteúdo para maximizar os resultados. A first successful experience in business development, sales, account management…&hellip;
Compétences: Développement commercial"
Apprenti en cuisine H/F,Sain-Bel,DA ENZO,2 k € (fourni par l’employeur),Non noté,"Veiller à la propreté et à l'organisation de la cuisine. Collaborer avec l'équipe de service pour garantir une expérience client optimale.&hellip;
Compétences: Français, Service client, Préparation culinaires, Sens de l'organisation, Préparation des aliments"
Cuisinier pour poste froid (entrées et desserts) pour intégrer une brigade de 3 personnes,Crolles,Ristorante Da Luca,"11,65 € - 13,60 € Par heure (fourni par l’employeur)",Non noté,"Élaborer des préparations culinaires variées, en veillant à la présentation des plats. Nous recherchons un cuisinier ou une cuisinière motivé(e), passionné(e)…&hellip;
Compétences: Manipulation des aliments, Préparation culinaires, Securité, Préparation des aliments, Sécurité alimentaire"
Cloud Agile Developer for SAP Digital Assistant - F/M,Levallois-Perret,SAP,Non renseigné,"4,2","Ideal candidate brings 3 to 5 years of experience in: English communication skills it’s a must have. Understanding REST APIs utilization, development, and…&hellip;
Compétences: CI/CD, Azure, Node.js, React, Tests automatisés"
Chef de Partie (H/F),Saint-Rémy,Da Peppe,2 k € - 3 k € (fourni par l’employeur),Non noté,"Collaborer avec les autres membres de l'équipe pour garantir un service fluide et efficace. Surveiller la qualité des produits utilisés et signaler toute…&hellip;
Compétences: Manipulation des aliments, Préparation culinaires, Service en restauration, Préparation des aliments, Sécurité alimentaire"
Chef d'équipe H/F,Colomiers,ERMA ELECTRONIQUE,25 k € - 35 k € (fourni par l’employeur),"4,0","Planifier l'activité du personnel en fonction de la production, Vérifier les éléments d'activité et de gestion administrative du personnel, Apporter un appui…&hellip;
Compétences: Systèmes PGI, Anglais, Microsoft Office"
IDE bloc [57388],Rouen,Hôpitaux Privés Rouennais - Mathilde,Non renseigné,Non noté,"Clinique certifiée Haute Qualité des Soins (98,49 %). Un poste en CDI (autres modalités à discuter selon profil).&hellip;"
Commis de salle/Runner H/F,Craponne,Casa Valentino da Antonio e Marco,2 k € (fourni par l’employeur),Non noté,"Nous recherchons un serveur ou une serveuse passionné(e) par le service en restauration pour rejoindre l'équipe de la Casa Valentino da Antonio e Marco.&hellip;
Compétences: Service client, Anglais, Service en restauration, Services aux visiteurs, Restauration"
INFIRMIER H/F au CMP La Garenne Colombes,La Garenne-Colombes,CMP,Non renseigné,"3,8",L'unité d'hospitalisation du Pôle 5 se situe sur le territoire du Centre d'accueil et de Soins Hospitalier de Nanterre (CASH).&hellip;
Conseiller Développement Assurances et Prévoyances des Professionnels (H/F) - Vendée et Région Choletaise,La Roche-sur-Yon,Groupe BPCE,Non renseigné,"4,0",Proposer aux managers (DGR et DA) des plan d'actions et animations pour gagner en efficacité commerciale avec les collaborateurs du réseau.&hellip;
Psychologue H/F,Châteauroux,Coallia,30 k € - 35 k € (fourni par l’employeur),"3,1","Niveau I (Master 2, DESS, DEA, diplôme d'ingénieur, doctorat,...). Être support des équipes Coallia. Participez à la mission d'utilité sociale de Coallia au…&hellip;
Compétences: Anglais"
Technicien d'exploitation (H/F),Canéjan,Cheops Technology,Non renseigné,"3,7","Vous pourrez profiter d’un management à l’écoute de vos remarques et besoins. Dans le cadre de nos activités et afin de garantir une continuité de notre service…&hellip;
Compétences: Microsoft Windows Server, Linux"
Ingénieur Confirmé Conduite Incidentelle Accidentelle – Bureau d'études H/F,Marseille,ASSYSTEM,Non renseigné,"3,2","En tant que membre de l'équipe, vous travaillerez aux côtés de Rémi, notre responsable d'équipe Conduite Incidentelle Accidentelle (CIA).&hellip;
Compétences: Visio, Microsoft Office"
